ID	GRWS002D_ACAGTG_L002_R1_001.fastq	GRWS002D_ACAGTG_L002_R1_002.fastq	GRWS002D_ACAGTG_L002_R1_003.fastq	GRWS002D_ACAGTG_L002_R2_001.fastq	GRWS002D_ACAGTG_L002_R2_002.fastq	GRWS002D_ACAGTG_L002_R2_003.fastq	GRWS002E_GCCAAT_L002_R1_001.fastq	GRWS002E_GCCAAT_L002_R1_002.fastq	GRWS002E_GCCAAT_L002_R1_003.fastq	GRWS002E_GCCAAT_L002_R2_001.fastq	GRWS002E_GCCAAT_L002_R2_002.fastq	GRWS002E_GCCAAT_L002_R2_003.fastq	GRWS002F_CAGATC_L002_R1_001.fastq	GRWS002F_CAGATC_L002_R1_002.fastq	GRWS002F_CAGATC_L002_R1_003.fastq	GRWS002F_CAGATC_L002_R2_001.fastq	GRWS002F_CAGATC_L002_R2_002.fastq	GRWS002F_CAGATC_L002_R2_003.fastq	GRWS002G_ACTTGA_L002_R1_001.fastq	GRWS002G_ACTTGA_L002_R1_002.fastq	GRWS002G_ACTTGA_L002_R1_003.fastq	GRWS002G_ACTTGA_L002_R2_001.fastq	GRWS002G_ACTTGA_L002_R2_002.fastq	GRWS002G_ACTTGA_L002_R2_003.fastq	GRWS002H_GATCAG_L002_R1_001.fastq	GRWS002H_GATCAG_L002_R1_002.fastq	GRWS002H_GATCAG_L002_R1_003.fastq	GRWS002H_GATCAG_L002_R2_001.fastq	GRWS002H_GATCAG_L002_R2_002.fastq	GRWS002H_GATCAG_L002_R2_003.fastq	GRWS002I_TAGCTT_L002_R1_001.fastq	GRWS002I_TAGCTT_L002_R1_002.fastq	GRWS002I_TAGCTT_L002_R1_003.fastq	GRWS002I_TAGCTT_L002_R2_001.fastq	GRWS002I_TAGCTT_L002_R2_002.fastq	GRWS002I_TAGCTT_L002_R2_003.fastq	GRWS002J_GGCTAC_L002_R1_001.fastq	GRWS002J_GGCTAC_L002_R1_002.fastq	GRWS002J_GGCTAC_L002_R1_003.fastq	GRWS002J_GGCTAC_L002_R2_001.fastq	GRWS002J_GGCTAC_L002_R2_002.fastq	GRWS002J_GGCTAC_L002_R2_003.fastq	GRWS002K_CTTGTA_L002_R1_001.fastq	GRWS002K_CTTGTA_L002_R1_002.fastq	GRWS002K_CTTGTA_L002_R1_003.fastq	GRWS002K_CTTGTA_L002_R2_001.fastq	GRWS002K_CTTGTA_L002_R2_002.fastq	GRWS002K_CTTGTA_L002_R2_003.fastq	GRWS002L_AGTCAA_L002_R1_001.fastq	GRWS002L_AGTCAA_L002_R1_002.fastq	GRWS002L_AGTCAA_L002_R1_003.fastq	GRWS002L_AGTCAA_L002_R2_001.fastq	GRWS002L_AGTCAA_L002_R2_002.fastq	GRWS002L_AGTCAA_L002_R2_003.fastq	GRWS002M_ATCACG_L002_R1_001.fastq	GRWS002M_ATCACG_L002_R1_002.fastq	GRWS002M_ATCACG_L002_R1_003.fastq	GRWS002M_ATCACG_L002_R2_001.fastq	GRWS002M_ATCACG_L002_R2_002.fastq	GRWS002M_ATCACG_L002_R2_003.fastq	GRWS002N_AGTTCC_L002_R1_001.fastq	GRWS002N_AGTTCC_L002_R1_002.fastq	GRWS002N_AGTTCC_L002_R1_003.fastq	GRWS002N_AGTTCC_L002_R1_004.fastq	GRWS002N_AGTTCC_L002_R2_001.fastq	GRWS002N_AGTTCC_L002_R2_002.fastq	GRWS002N_AGTTCC_L002_R2_003.fastq	GRWS002N_AGTTCC_L002_R2_004.fastq	GRWS002O_ATGTCA_L002_R1_001.fastq	GRWS002O_ATGTCA_L002_R1_002.fastq	GRWS002O_ATGTCA_L002_R1_003.fastq	GRWS002O_ATGTCA_L002_R1_004.fastq	GRWS002O_ATGTCA_L002_R2_001.fastq	GRWS002O_ATGTCA_L002_R2_002.fastq	GRWS002O_ATGTCA_L002_R2_003.fastq	GRWS002O_ATGTCA_L002_R2_004.fastq	GRWS002P_CCGTCC_L002_R1_001.fastq	GRWS002P_CCGTCC_L002_R1_002.fastq	GRWS002P_CCGTCC_L002_R1_003.fastq	GRWS002P_CCGTCC_L002_R2_001.fastq	GRWS002P_CCGTCC_L002_R2_002.fastq	GRWS002P_CCGTCC_L002_R2_003.fastq	GRWS002Q_GTAGAG_L002_R1_001.fastq	GRWS002Q_GTAGAG_L002_R1_002.fastq	GRWS002Q_GTAGAG_L002_R1_003.fastq	GRWS002Q_GTAGAG_L002_R2_001.fastq	GRWS002Q_GTAGAG_L002_R2_002.fastq	GRWS002Q_GTAGAG_L002_R2_003.fastq
k__Bacteria|p__Firmicutes	26.70407	30.42293	23.10265	29.00387	27.93693	22.76883	0	20.52986	20.13345	19.40101	21.20692	19.86543	18.73727	18.49674	17.69283	18.81883	16.08257	16.33423	17.14993	29.012	25.06938	24.75174	26.38084	24.42232	24.54639	8.86248	8.28309	7.9022	8.70315	8.27413	8.00074	0.06545	0.04118	0.03837	0.05679	0.03526	0.02477	0.57112	0.44669	0	0.53857	0.34247	0	0.18652	0.18216	0	0.24692	0.23181	0	1.58709	1.86765	1.56989	1.79016	1.70657	1.3662	0.08505	0.13332	0.06615	0	0.05639	0.0936	0.07032	0	0.35253	0.33974	0.40915	0	0.3746	0.5056	0.38845	0	0.09271	0.06173	0.08218	0.10467	0.09	0.10562	1.55244	1.53461	0.76419	1.53639	1.56452	0.47424	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli	26.70407	30.42293	23.10265	29.00387	27.93693	22.76883	0	20.52986	20.13345	19.40101	21.20692	19.86543	18.73727	18.49674	17.69283	18.81883	16.08257	16.33423	17.14993	29.012	25.06938	24.75174	26.38084	24.42232	24.54639	8.86248	8.28309	7.9022	8.70315	8.27413	8.00074	0	0.57112	0.43174	0	0.53857	0.34247	0	0.18652	0.18216	0	0.24692	0.23181	0	0	0.08505	0.13332	0.06615	0	0.05639	0.0936	0.07032	0	0.2476	0.22811	0.24036	0	0.22545	0.27093	0.23964	0	0	1.55244	1.53461	0.76419	1.53639	1.56452	0.47424	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	26.70407	30.42293	23.10265	29.00387	27.93693	22.76883	0	20.52986	20.13345	19.40101	21.20692	19.86543	18.73727	18.49674	17.69283	18.81883	16.08257	16.33423	17.14993	29.012	25.06938	24.75174	26.38084	24.42232	24.54639	8.86248	8.28309	7.9022	8.70315	8.27413	8.00074	0	0.57112	0.43174	0	0.53857	0.34247	0	0.18652	0.18216	0	0.24692	0.23181	0	0	0.08505	0.13332	0.06615	0	0.05639	0.0936	0.07032	0	0.2476	0.22811	0.24036	0	0.22545	0.27093	0.23964	0	0	1.55244	1.53461	0.76419	1.53639	1.56452	0.47424	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae	0	0	0	0	0	0	0	0.2717	0.26697	0	0.2576	0.16067	0	0	0	0	0.01055	0	0	0.00369	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus	0	0	0	0	0	0	0	0.2717	0.26697	0	0.2576	0.16067	0	0	0	0	0.01055	0	0	0.00369	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus|s__Enterococcus_faecalis	0	0	0	0	0	0	0	0.2717	0.26697	0	0.2576	0.16067	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus|s__Enterococcus_gallinarum	0	0	0	0	0	0	0	0	0	0	0	0.01055	0	0	0.00369	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae	26.70407	30.42293	23.10265	29.00387	27.93693	22.76883	0	20.52986	20.13345	19.40101	21.20692	19.86543	18.73727	18.49674	17.69283	18.81883	16.08257	16.33423	17.14993	29.012	25.06938	24.75174	26.38084	24.42232	24.54639	8.86248	8.28309	7.9022	8.70315	8.27413	8.00074	0	0.29942	0.16477	0	0.28098	0.18181	0	0.18652	0.18216	0	0.24692	0.23181	0	0	0.08505	0.12277	0.06615	0	0.0527	0.0936	0.07032	0	0.2476	0.22811	0.24036	0	0.22545	0.27093	0.23964	0	0	1.55244	1.53461	0.76419	1.53639	1.56452	0.47424	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus	26.70407	30.42293	23.10265	29.00387	27.93693	22.76883	0	20.52986	20.13345	19.40101	21.20692	19.86543	18.73727	18.49674	17.69283	18.81883	16.08257	16.33423	17.14993	29.012	25.06938	24.75174	26.38084	24.42232	24.54639	8.86248	8.28309	7.9022	8.70315	8.27413	8.00074	0	0.29942	0.16477	0	0.28098	0.18181	0	0.18652	0.18216	0	0.24692	0.23181	0	0	0.08505	0.12277	0.06615	0	0.0527	0.0936	0.07032	0	0.2476	0.22811	0.24036	0	0.22545	0.27093	0.23964	0	0	1.55244	1.53461	0.76419	1.53639	1.56452	0.47424	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_johnsonii	22.6812	25.70297	20.98086	24.17075	23.51863	19.9601	0	15.32713	14.81537	14.26216	15.68598	14.83613	14.10722	16.20737	15.40964	16.39648	13.95736	14.19637	14.61376	24.68519	20.87296	21.92293	22.22321	20.63437	22.07277	8.13421	7.35329	7.36903	7.70129	7.5793	7.26482	0	0.29942	0.16477	0	0.28098	0.18181	0	0.18652	0.18216	0	0.24692	0.23181	0	0	0.08505	0.12277	0.06615	0	0.0527	0.0936	0.07032	0	0.2476	0.22811	0.24036	0	0.22545	0.27093	0.23964	0	0	0.78025	0.84475	0.57681	0.84075	0.86908	0.42316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_reuteri	4.02287	4.71996	2.12179	4.83312	4.4183	2.80873	0	5.20272	5.31807	5.13885	5.52093	5.0293	4.63005	2.28937	2.28319	2.42235	2.1252	2.13786	2.53617	4.32682	4.19642	2.82881	4.15763	3.78795	2.47362	0.72828	0.9298	0.53317	1.00186	0.69483	0.73593	0	0	0	0	0	0	0	0.77219	0.68986	0.18738	0.69564	0.69544	0.05108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia	0	0	0	0	0	0	0.06545	0.04118	0.03837	0.05679	0.03526	0.02477	0	0.01495	0	0	0	0	0	1.58709	1.86765	1.56989	1.79016	1.70657	1.3662	0	0.10493	0.11163	0.16879	0	0.14916	0.23466	0.14881	0	0.09271	0.06173	0.08218	0.10467	0.09	0.10562	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	0	0	0	0	0	0	0.06545	0.04118	0.03837	0.05679	0.03526	0.02477	0	0.01495	0	0	0	0	0	1.58709	1.86765	1.56989	1.79016	1.70657	1.3662	0	0.10493	0.11163	0.16879	0	0.14916	0.23466	0.14881	0	0.09271	0.06173	0.08218	0.10467	0.09	0.10562	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae	0	0	0	0	0	0	0.06545	0.04118	0.03837	0.05679	0.03526	0.02477	0	0.01495	0	0	0	0	0	1.58709	1.86765	1.56989	1.79016	1.70657	1.3662	0	0.10493	0.11163	0.16879	0	0.14916	0.23466	0.14881	0	0.09271	0.06173	0.08218	0.10467	0.09	0.10562	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Anaerotruncus	0	0	0	0	0	0	0.06545	0.04118	0.03837	0.05679	0.03526	0.02477	0	0.01495	0	0	0	0	0	1.58709	1.86765	1.56989	1.79016	1.70657	1.3662	0	0.10493	0.11163	0.16879	0	0.14916	0.23466	0.14881	0	0.09271	0.06173	0.08218	0.10467	0.09	0.10562	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Anaerotruncus|s__Anaerotruncus_colihominis	0	0	0	0	0	0	0.06545	0.04118	0.03837	0.05679	0.03526	0.02477	0	0.01495	0	0	0	0	0	1.58709	1.86765	1.56989	1.79016	1.70657	1.3662	0	0.10493	0.11163	0.16879	0	0.14916	0.23466	0.14881	0	0.09271	0.06173	0.08218	0.10467	0.09	0.10562	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria	6.16852	3.33361	1.54444	5.10385	3.82675	4.90125	0	0	0	0	0	0	0.37327	0.17586	0	0	10.86057	11.31538	10.52796	11.14004	10.74346	10.32932	17.24505	18.21108	16.06131	17.10073	17.11541	18.5411	16.86346	16.70578	22.6449	15.07048	15.66563	21.55626	12.17442	10.23591	11.16584	10.25393	9.96818	10.89039	9.07122	8.34514	8.42899	0	7.6658	8.32861	7.27191	0	52.73747	54.7959	57.23355	59.89788	54.7959	55.55556	56.15374	52.8819	0.16289	0.1846	0.09323	0.24171	0.18008	0.06395	0.09212	0.17563	0.26106	0.3181	0.1135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	6.16852	3.33361	1.54444	5.10385	3.82675	4.90125	0	0	0	0	0	0	0.37327	0.17586	0	0	10.86057	11.31538	10.52796	11.14004	10.74346	10.32932	17.24505	18.21108	16.06131	17.10073	17.11541	18.5411	16.86346	16.70578	22.6449	15.07048	15.66563	21.55626	12.17442	10.23591	11.16584	10.25393	9.96818	10.89039	9.07122	8.34514	8.42899	0	7.6658	8.32861	7.27191	0	52.73747	54.7959	57.23355	59.89788	54.7959	55.55556	56.15374	52.8819	0.16289	0.1846	0.09323	0.24171	0.18008	0.06395	0.09212	0.17563	0.26106	0.3181	0.1135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales	6.16852	3.33361	1.54444	5.10385	3.82675	4.90125	0	0	0	0	0	0	0.37327	0.17586	0	0	10.86057	11.31538	10.52796	11.14004	10.74346	10.32932	17.24505	18.21108	16.06131	17.10073	17.11541	18.5411	16.86346	16.70578	22.6449	15.07048	15.66563	21.55626	12.17442	10.23591	11.16584	10.25393	9.96818	10.89039	9.07122	8.34514	8.42899	0	7.6658	8.32861	7.27191	0	52.73747	54.7959	57.23355	59.89788	54.7959	55.55556	56.15374	52.8819	0.16289	0.1846	0.09323	0.24171	0.18008	0.06395	0.09212	0.17563	0.26106	0.3181	0.1135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae	6.16852	3.33361	1.54444	5.10385	3.82675	4.90125	0	0	0	0	0	0	0.37327	0.17586	0	0	10.86057	11.31538	10.52796	11.14004	10.74346	10.32932	17.24505	18.21108	16.06131	17.10073	17.11541	18.5411	16.86346	16.70578	22.6449	15.07048	15.66563	21.55626	12.17442	10.23591	11.16584	10.25393	9.96818	10.89039	9.07122	8.34514	8.42899	0	7.6658	8.32861	7.27191	0	52.73747	54.7959	57.23355	59.89788	54.7959	55.55556	56.15374	52.8819	0.16289	0.1846	0.09323	0.24171	0.18008	0.06395	0.09212	0.17563	0.26106	0.3181	0.1135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Enterobacter	0	0	0	0	0	0	1.1107	1.15803	1.05575	1.25043	1.12453	1.17105	4.87953	4.98328	4.20468	5.07861	4.55602	4.89247	0	0.09502	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Enterobacter|s__Enterobacter_cloacae	0	0	0	0	0	0	1.1107	1.15803	1.05575	1.25043	1.12453	1.17105	4.87953	4.98328	4.20468	5.07861	4.55602	4.89247	0	0.09502	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Escherichia	6.16852	3.33361	1.54444	5.10385	3.82675	4.90125	0	0	0	0	0	0	0.37327	0.17586	0	0	4.93533	5.44734	4.95592	5.09221	4.89775	4.61431	12.36553	13.22779	11.85662	12.02212	12.55939	13.64863	16.7706	16.61076	22.6449	15.06101	15.66563	21.55626	12.17442	10.23591	11.16584	10.25393	9.96818	10.89039	9.07122	8.32421	8.41602	0	7.6658	8.31205	7.26758	0	52.73747	54.7959	57.23355	59.89788	54.7959	55.55556	56.15374	52.8819	0.16289	0.1846	0.09323	0.24171	0.18008	0.06395	0.09212	0.17563	0.26106	0.27996	0.09488	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Escherichia|s__Escherichia_coli	6.16852	3.33361	1.54444	5.10385	3.82675	4.90125	0	0	0	0	0	0	0.37327	0	0	0	4.93533	5.44734	4.95592	5.09221	4.89775	4.22765	12.36553	13.22779	11.85662	11.37535	12.55939	13.64863	16.7706	15.34567	22.6449	15.06101	14.83797	21.55626	12.17442	10.23591	11.16584	10.25393	9.96818	10.89039	9.07122	8.32421	8.41602	0	7.6658	8.31205	7.26758	0	52.73747	54.7959	57.23355	59.89788	54.7959	55.55556	56.15374	52.8819	0.13528	0.1846	0.09323	0.0972	0.18008	0.06395	0.09212	0	0	0	0.09488	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Escherichia|s__Escherichia_unclassified	0	0	0	0	0	0	0	0	0.17586	0	0	0	0	0	0	0	0.38666	0	0	0	0.64677	0	0	0	1.26509	0	0	0.82765	0	0	0	0	0.02761	0	0	0.14451	0	0	0	0.17563	0.26106	0.27996	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Proteus	0	0	0	0	0	0	4.81454	4.71001	4.51629	4.7974	4.72118	4.54396	0	0.09287	0	0	0.00947	0	0	0	0	0.02093	0.01296	0	0	0.01656	0.00432	0	0	0	0	0	0	0.03814	0.01862	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Proteus|s__Proteus_mirabilis	0	0	0	0	0	0	4.81454	4.71001	4.51629	4.7974	4.72118	4.54396	0	0.09287	0	0	0.00947	0	0	0	0	0.02093	0.01296	0	0	0.01656	0.00432	0	0	0	0	0	0	0	0.01862	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Proteus|s__Proteus_unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03814	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Verrucomicrobia	17.71881	21.69686	16.29793	18.09214	19.66051	16.66787	80.53115	77.77262	84.08053	77.82752	79.14477	83.33919	0.57484	0.54352	0.19481	0.60281	0.46612	0	22.28836	22.5228	23.79016	21.07603	21.86236	22.20189	0.03328	0	0	0	0	0	0.17267	0.29307	0.18749	0.08657	0.21751	0.0345	66.37893	67.29537	67.17095	65.98616	65.32754	65.91475	0.87078	0.85775	0.57961	0.89321	0.73373	0.45992	1.02454	1.12885	0.03729	1.00687	0.96913	0	13.90619	14.18215	14.57944	13.15049	12.88474	13.50904	2.12872	2.07344	2.33372	0	2.09621	1.98002	2.04081	0	0.1689	0.13457	0.16955	0	0.04767	0.09794	0.10151	0	84.04746	85.62811	83.63597	83.63382	85.07479	83.64771	7.79745	8.63725	7.54945	8.26476	8.68102	7.06548
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	17.71881	21.69686	16.29793	18.09214	19.66051	16.66787	80.53115	77.77262	84.08053	77.82752	79.14477	83.33919	0.57484	0.54352	0.19481	0.60281	0.46612	0	22.28836	22.5228	23.79016	21.07603	21.86236	22.20189	0.03328	0	0	0	0	0	0.17267	0.29307	0.18749	0.08657	0.21751	0.0345	66.37893	67.29537	67.17095	65.98616	65.32754	65.91475	0.87078	0.85775	0.57961	0.89321	0.73373	0.45992	1.02454	1.12885	0.03729	1.00687	0.96913	0	13.90619	14.18215	14.57944	13.15049	12.88474	13.50904	2.12872	2.07344	2.33372	0	2.09621	1.98002	2.04081	0	0.1689	0.13457	0.16955	0	0.04767	0.09794	0.10151	0	84.04746	85.62811	83.63597	83.63382	85.07479	83.64771	7.79745	8.63725	7.54945	8.26476	8.68102	7.06548
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	17.71881	21.69686	16.29793	18.09214	19.66051	16.66787	80.53115	77.77262	84.08053	77.82752	79.14477	83.33919	0.57484	0.54352	0.19481	0.60281	0.46612	0	22.28836	22.5228	23.79016	21.07603	21.86236	22.20189	0.03328	0	0	0	0	0	0.17267	0.29307	0.18749	0.08657	0.21751	0.0345	66.37893	67.29537	67.17095	65.98616	65.32754	65.91475	0.87078	0.85775	0.57961	0.89321	0.73373	0.45992	1.02454	1.12885	0.03729	1.00687	0.96913	0	13.90619	14.18215	14.57944	13.15049	12.88474	13.50904	2.12872	2.07344	2.33372	0	2.09621	1.98002	2.04081	0	0.1689	0.13457	0.16955	0	0.04767	0.09794	0.10151	0	84.04746	85.62811	83.63597	83.63382	85.07479	83.64771	7.79745	8.63725	7.54945	8.26476	8.68102	7.06548
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Verrucomicrobiaceae	17.71881	21.69686	16.29793	18.09214	19.66051	16.66787	80.53115	77.77262	84.08053	77.82752	79.14477	83.33919	0.57484	0.54352	0.19481	0.60281	0.46612	0	22.28836	22.5228	23.79016	21.07603	21.86236	22.20189	0.03328	0	0	0	0	0	0.17267	0.29307	0.18749	0.08657	0.21751	0.0345	66.37893	67.29537	67.17095	65.98616	65.32754	65.91475	0.87078	0.85775	0.57961	0.89321	0.73373	0.45992	1.02454	1.12885	0.03729	1.00687	0.96913	0	13.90619	14.18215	14.57944	13.15049	12.88474	13.50904	2.12872	2.07344	2.33372	0	2.09621	1.98002	2.04081	0	0.1689	0.13457	0.16955	0	0.04767	0.09794	0.10151	0	84.04746	85.62811	83.63597	83.63382	85.07479	83.64771	7.79745	8.63725	7.54945	8.26476	8.68102	7.06548
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Verrucomicrobiaceae|g__Akkermansia	17.71881	21.69686	16.29793	18.09214	19.66051	16.66787	80.53115	77.77262	84.08053	77.82752	79.14477	83.33919	0.57484	0.54352	0.19481	0.60281	0.46612	0	22.28836	22.5228	23.79016	21.07603	21.86236	22.20189	0.03328	0	0	0	0	0	0.17267	0.29307	0.18749	0.08657	0.21751	0.0345	66.37893	67.29537	67.17095	65.98616	65.32754	65.91475	0.87078	0.85775	0.57961	0.89321	0.73373	0.45992	1.02454	1.12885	0.03729	1.00687	0.96913	0	13.90619	14.18215	14.57944	13.15049	12.88474	13.50904	2.12872	2.07344	2.33372	0	2.09621	1.98002	2.04081	0	0.1689	0.13457	0.16955	0	0.04767	0.09794	0.10151	0	84.04746	85.62811	83.63597	83.63382	85.07479	83.64771	7.79745	8.63725	7.54945	8.26476	8.68102	7.06548
